"","date","price","simple","cc"
"1",1991-01-03,17.049812,-0.0139205874021269,-0.0140183874625714
"2",1991-01-04,17.010628,-0.00229820715911699,-0.00230085209036712
"3",1991-01-07,16.719561,-0.0171108909089075,-0.017258973854406
"4",1991-01-08,16.691582,-0.00167342910498625,-0.00167483085150488
"5",1991-01-09,16.512457,-0.0107314573298086,-0.010789454722254
"6",1991-01-10,16.66918,0.00949119806943322,0.00944643963361846
"7",1991-01-11,16.708366,0.00235080549853084,0.00234804667807254
"8",1991-01-14,16.568441,-0.00837454721784292,-0.00840981075383995
"9",1991-01-15,16.629993,0.00371501458706902,0.00370813096361822
"10",1991-01-16,16.764345,0.00807889696646313,0.00804643738624033
"11",1991-01-17,17.391254,0.0373953769145172,0.0367131265096914
"12",1991-01-18,17.609556,0.0125524013392015,0.012474273068432
"13",1991-01-21,17.553577,-0.00317889900233681,-0.00318396243537933
"14",1991-01-22,17.408047,-0.00829061791793229,-0.00832517622971896
"15",1991-01-23,17.508799,0.00578766819735721,0.00577098398992737
"16",1991-01-24,17.749487,0.0137466881651906,0.0136530595274174
"17",1991-01-25,17.822262,0.00410011849919956,0.00409173591858325
"18",1991-01-28,17.822262,0,0
"19",1991-01-29,17.816654,-0.000314662639343877,-0.000314712156019858
"20",1991-01-30,18.085344,0.0150808339208919,0.0149682486536356
"21",1991-01-31,18.247662,0.00897511266581397,0.00893507572120589
"22",1991-02-01,18.202869,-0.00245472543277048,-0.0024577432108015
"23",1991-02-04,18.493946,0.0159907210231529,0.015864216263358
"24",1991-02-05,18.656281,0.00877773732009368,0.00873943694775425
"25",1991-02-06,19.020113,0.0195018503419842,0.0193141259811762
"26",1991-02-07,18.941753,-0.00411984934053755,-0.00412835930104416
"27",1991-02-08,19.092871,0.00797803666851737,0.00794638039246465
"28",1991-02-11,19.591047,0.0260922519195779,0.0257576568581781
"29",1991-02-12,19.434328,-0.0079995214140417,-0.00803168925185815
"30",1991-02-13,19.619038,0.00950431627993487,0.00945943442276853
"31",1991-02-14,19.372746,-0.0125537246015837,-0.0126331883466788
"32",1991-02-15,19.630238,0.0132914559453783,0.0132038995263701
"33",1991-02-19,19.64702,0.000854905579851239,0.000854540356215683
"34",1991-02-20,19.423124,-0.0113959267105138,-0.0114613578573111
"35",1991-02-21,19.411936,-0.000576014445462403,-0.000576180405516435
"36",1991-02-22,19.456711,0.00230657055535333,0.00230391450495082
"37",1991-02-25,19.546274,0.00460319321184377,0.0045926309190838
"38",1991-02-26,19.316767,-0.0117417263259486,-0.0118112047948005
"39",1991-02-27,19.574251,0.0133295597550047,0.0132415028171047
"40",1991-02-28,19.546274,-0.00142927563358619,-0.00143029802230421
"41",1991-03-01,19.725386,0.00916348558298097,0.00912175558340911
"42",1991-03-04,19.675014,-0.00255366358863651,-0.00255692974913346
"43",1991-03-05,20.066833,0.0199145474559763,0.0197188467827458
"44",1991-03-06,20.038839,-0.00139503827036402,-0.00139601224217589
"45",1991-03-07,20.027653,-0.000558215972491838,-0.000558371833033089
"46",1991-03-08,19.982868,-0.00223615817589828,-0.00223866211108525
"47",1991-03-11,19.876522,-0.00532185870416579,-0.00533607023780691
"48",1991-03-12,19.725386,-0.00760374475977266,-0.00763280060951121
"49",1991-03-13,19.966074,0.012201941193952,0.0121280975928322
"50",1991-03-14,19.910105,-0.00280320507677201,-0.00280714141408467
"51",1991-03-15,19.915707,0.00028136466382267,0.000281325088208995
"52",1991-03-18,19.837332,-0.00393533606414276,-0.00394309987460773
"53",1991-03-19,19.546274,-0.0146722351574291,-0.0147809369757579
"54",1991-03-20,19.613447,0.00343661405749218,0.00343072239379305
"55",1991-03-21,19.540668,-0.00371066850207413,-0.00371757011078477
"56",1991-03-22,19.602242,0.00315106934931797,0.00314611513494967
"57",1991-03-25,19.725386,0.00628213854313198,0.00626248816545116
"58",1991-03-26,20.072439,0.0175942311090895,0.0174412444731558
"59",1991-03-27,19.982428,-0.00448430806042044,-0.00449439272961305
"60",1991-03-28,19.976801,-0.000281597411485701,-0.000281637067481633
"61",1991-04-01,19.774275,-0.010138059642282,-0.0101897997622635
"62",1991-04-02,20.207445,0.0219057335856814,0.0216692503313944
"63",1991-04-03,20.179316,-0.00139201170657666,-0.00139298145491074
"64",1991-04-04,20.235582,0.0027883006539966,0.00278442055464367
"65",1991-04-05,19.9993,-0.011676560624745,-0.0117452670186924
"66",1991-04-08,20.173697,0.0087201552054319,0.00868235424656216
"67",1991-04-09,19.90365,-0.0133860937834051,-0.0134764951910222
"68",1991-04-10,19.881159,-0.00112999374486578,-0.00113063266916313
"69",1991-04-11,20.123056,0.0121671478005883,0.0120937230377609
"70",1991-04-12,20.269331,0.00726902514210614,0.0072427331135767
"71",1991-04-15,20.314331,0.00222010287364682,0.00221764208672237
"72",1991-04-16,20.657511,0.0168934925792044,0.0167523845213986
"73",1991-04-17,20.809397,0.00735257989212723,0.0073256814447773
"74",1991-04-18,20.702505,-0.00513671780109748,-0.00514995608967572
"75",1991-04-19,20.47748,-0.0108694575849634,-0.0109289617169943
"76",1991-04-22,20.303089,-0.00851623344278718,-0.00855270376629091
"77",1991-04-23,20.342472,0.00193975409357683,0.00193787519994038
"78",1991-04-24,20.398714,0.00276475740018212,0.00276094248836056
"79",1991-04-25,20.213078,-0.00910037760223503,-0.00914203898732779
"80",1991-04-26,20.201815,-0.000557213503059817,-0.0005573688041971
"81",1991-04-29,19.926168,-0.0136446650956856,-0.0137386090733593
"82",1991-04-30,20.016182,0.00451737634652094,0.00450720362649104
